date,sales,promo,holiday,temperature
2023-01-01,83,0,0,27.339180393770135
2023-01-02,450,1,0,25.990856691719628
2023-01-03,92,0,0,23.869168170833653
2023-01-04,351,0,1,17.999995998104144
2023-01-05,136,1,1,26.029207767793306
2023-01-06,277,1,0,16.23747968481032
2023-01-07,121,1,1,29.969332476114424
2023-01-08,236,0,1,21.81928162817995
2023-01-09,358,0,1,18.154254876722568
2023-01-10,199,0,1,18.372560118615105
2023-01-11,201,1,1,15.804653378664886
2023-01-12,337,1,0,24.24793746774373
2023-01-13,443,1,1,21.305514936574966
2023-01-14,204,1,1,23.911614608376844
2023-01-15,438,0,1,22.79602382838831
2023-01-16,91,1,0,27.518006909280345
2023-01-17,79,1,1,23.55185473408307
2023-01-18,87,0,1,18.676764961549175
2023-01-19,204,1,1,25.48266046882612
2023-01-20,424,1,1,15.21644468400536
2023-01-21,474,1,0,25.882326563981724
2023-01-22,471,1,1,25.126893409023793
2023-01-23,395,1,1,17.941509853214622
2023-01-24,393,1,1,24.96913495481173
2023-01-25,347,1,0,18.62419753716562
2023-01-26,236,0,0,24.874361732075133
2023-01-27,87,1,0,23.834454821394765
2023-01-28,192,1,1,22.677038113747674
2023-01-29,234,0,1,17.2714512332935
2023-01-30,462,0,1,29.474876461494564
2023-01-31,372,1,0,24.711011274019263
2023-02-01,166,0,1,26.104450717945046
2023-02-02,293,0,0,28.90798311656173
2023-02-03,171,0,0,24.6351945118247
2023-02-04,54,1,1,24.850316680123193
2023-02-05,84,1,0,29.07554125781505
2023-02-06,198,0,1,29.25238615189945
2023-02-07,193,1,1,15.484773896089445
2023-02-08,472,1,1,27.87944428757985
2023-02-09,451,0,0,21.16907665780431
2023-02-10,217,1,1,25.407363154305465
2023-02-11,481,1,0,28.238598349023054
2023-02-12,416,0,1,23.24720645484879
2023-02-13,108,1,0,24.969546026623227
2023-02-14,330,0,0,17.277757518663638
2023-02-15,276,1,1,24.525379645989688
2023-02-16,417,1,0,20.069939262652916
2023-02-17,441,1,0,22.159175767979587
2023-02-18,89,1,0,15.899110507484858
2023-02-19,74,0,0,29.69639871031385
2023-02-20,76,0,1,23.267692573887352
2023-02-21,316,0,0,21.40163193921128
2023-02-22,401,0,0,23.08786324452049
2023-02-23,89,1,1,16.902871483373026
2023-02-24,446,0,1,25.43403921566069
2023-02-25,363,0,0,22.327978197146834
2023-02-26,239,1,0,25.388433134302602
2023-02-27,92,1,0,27.841117681157876
2023-02-28,88,1,1,21.34913857345095
2023-03-01,369,0,1,20.32045147408805
2023-03-02,215,1,0,15.058693338366615
2023-03-03,78,0,1,23.210414382133017
2023-03-04,268,0,0,23.17938945665388
2023-03-05,90,0,1,25.199309284060774
2023-03-06,162,0,0,23.262249150991515
2023-03-07,176,0,1,29.587499166174602
2023-03-08,255,1,0,25.68161124273063
2023-03-09,285,0,0,18.349048968620174
2023-03-10,249,0,0,29.774754404345543
2023-03-11,72,1,1,16.347818255986628
2023-03-12,431,0,1,20.142984679741367
2023-03-13,444,1,0,17.314420163592565
2023-03-14,181,1,0,20.850684192337216
2023-03-15,315,1,0,24.845463929456834
2023-03-16,173,1,1,18.867415437249015
2023-03-17,226,0,0,24.692139549425654
2023-03-18,404,1,0,29.792284786321922
2023-03-19,124,0,1,23.655812440440847
2023-03-20,265,1,0,24.436184529054476
2023-03-21,312,1,1,22.080650450184425
2023-03-22,341,0,0,28.980638210947006
2023-03-23,72,0,1,28.08804710609493
2023-03-24,459,0,1,16.01397559181027
2023-03-25,262,0,0,25.671799250335027
2023-03-26,221,1,0,26.33478867544527
2023-03-27,86,0,1,28.74819860615834
2023-03-28,254,0,1,17.723087349743512
2023-03-29,223,1,1,16.823397568786042
2023-03-30,210,0,0,26.306326139407442
2023-03-31,451,0,1,18.991607743762444
2023-04-01,404,1,0,28.092805139015418
2023-04-02,151,0,1,29.182866867347762
2023-04-03,335,0,1,27.069574720499105
